DATE,BOPGSTB
2005-01-01,-55561
2005-02-01,-57454
2005-03-01,-52619
2005-04-01,-57115
2005-05-01,-56264
2005-06-01,-58260
2005-07-01,-58063
2005-08-01,-58388
2005-09-01,-64923
2005-10-01,-67140
2005-11-01,-64090
2005-12-01,-64366
2006-01-01,-66680
2006-02-01,-62851
2006-03-01,-62574
2006-04-01,-62844
2006-05-01,-64844
2006-06-01,-63481
2006-07-01,-66525
2006-08-01,-67823
2006-09-01,-64936
2006-10-01,-58990
2006-11-01,-58575
2006-12-01,-61592
2007-01-01,-57656
2007-02-01,-58478
2007-03-01,-61797
2007-04-01,-60514
2007-05-01,-59288
2007-06-01,-59520
2007-07-01,-59914
2007-08-01,-57005
2007-09-01,-57794
2007-10-01,-56538
2007-11-01,-59717
2007-12-01,-57154
2008-01-01,-61139
2008-02-01,-64348
2008-03-01,-60064
2008-04-01,-63528
2008-05-01,-62151
2008-06-01,-60670
2008-07-01,-66842
2008-08-01,-62108
2008-09-01,-60499
2008-10-01,-60191
2008-11-01,-44724
2008-12-01,-42463
2009-01-01,-37842
2009-02-01,-27767
2009-03-01,-29162
2009-04-01,-29705
2009-05-01,-25372
2009-06-01,-26367
2009-07-01,-32790
2009-08-01,-31267
2009-09-01,-34491
2009-10-01,-33826
2009-11-01,-37203
2009-12-01,-37983
2010-01-01,-37302.0
2010-02-01,-41116.0
2010-03-01,-39848.0
2010-04-01,-40817.0
2010-05-01,-41347.0
2010-06-01,-46644.0
2010-07-01,-40670.0
2010-08-01,-45011.0
2010-09-01,-43876.0
2010-10-01,-39737.0
2010-11-01,-37842.0
2010-12-01,-41015.0
2011-01-01,-47352.0
2011-02-01,-44068.0
2011-03-01,-43621.0
2011-04-01,-42173.0
2011-05-01,-47163.0
2011-06-01,-49505.0
2011-07-01,-45943.0
2011-08-01,-44984.0
2011-09-01,-43744.0
2011-10-01,-44974.0
2011-11-01,-46888.0
2011-12-01,-49283.0
2012-01-01,-51077.0
2012-02-01,-43675.0
2012-03-01,-50088.0
2012-04-01,-47406.0
2012-05-01,-45786.0
2012-06-01,-43536.0
2012-07-01,-43570.0
2012-08-01,-44280.0
2012-09-01,-40127.0
2012-10-01,-43032.0
2012-11-01,-46700.0
2012-12-01,-38132.0
2013-01-01,-41288.0
2013-02-01,-42039.0
2013-03-01,-35741.0
2013-04-01,-38714.0
2013-05-01,-42687.0
2013-06-01,-35764.0
2013-07-01,-37710.0
2013-08-01,-38253.0
2013-09-01,-41461.0
2013-10-01,-37615.0
2013-11-01,-35158.0
2013-12-01,-34705.0
2014-01-01,-39113.0
2014-02-01,-41093.0
2014-03-01,-41656.0
2014-04-01,-44271.0
2014-05-01,-40941.0
2014-06-01,-39878.0
2014-07-01,-39909.0
2014-08-01,-37906.0
2014-09-01,-41768.0
2014-10-01,-40762.0
2014-11-01,-39856.0
2014-12-01,-42429.0
2015-01-01,-41037.0
2015-02-01,-35934.0
2015-03-01,-48737.0
2015-04-01,-40519.0
2015-05-01,-38746.0
2015-06-01,-42208.0
2015-07-01,-40705.0
2015-08-01,-44463.0
2015-09-01,-42363.0
2015-10-01,-41769.0
2015-11-01,-40439.0
2015-12-01,-41605.0
2016-01-01,-42217.0
2016-02-01,-45695.0
2016-03-01,-37350.0
2016-04-01,-38192.0
2016-05-01,-40170.0
2016-06-01,-43737.0
2016-07-01,-41136.0
2016-08-01,-41635.0
2016-09-01,-39000.0
2016-10-01,-42644.0
2016-11-01,-46127.0
2016-12-01,-44100.0
2017-01-01,-46879.0
2017-02-01,-44171.0
2017-03-01,-43909.0
2017-04-01,-46074.0
2017-05-01,-45823.0
2017-06-01,-44803.0
2017-07-01,-44221.0
2017-08-01,-44163.0
2017-09-01,-44407.0
2017-10-01,-46986.0
2017-11-01,-48952.0
2017-12-01,-51889.0
2018-01-01,-52334.0
2018-02-01,-54963.0
2018-03-01,-46693.0
2018-04-01,-45698.0
2018-05-01,-42754.0
2018-06-01,-46154.0
2018-07-01,-50416.0
2018-08-01,-53685.0
2018-09-01,-54555.0
2018-10-01,-55488.0
